275917000;333504000
270693700;330335300
267658900;324553800
263977700;316303400
261046700;314685000
256062200;311690200
252033400;311243700
250393500;308716300
248319200;307581800
248069400;304869400
245272800;299567100
244127700;301307900
240072700;302635000
239257400;298520700
241994100;267840600
238307200;269228000
240092400;265130200
240718000;272202600
239823500;277149900
238861600;281435200
237842500;284128400
235214100;265322300
237464200;258412700
236341000;257884100
233883900;277721800
234791400;262538600
233620500;259044300
234549000;273773900
231420000;261236300
229651400;256426600
234138100;263214100
230666900;256748400
230649700;276751100
230123400;259934600
232295500;264031500
228934100;254132000
229507100;264268900
229625700;251018400
229466100;255796100
230015500;254415500
228926700;264773100
229004900;264900400
227745700;278779900
228177000;260495000
229219800;255733500
227695900;263751700
227408200;262338000
228101900;262906300
229146000;258389900
231193600;256023000
226582700;254852500
226174500;255888500
226980600;265702700
226915400;258561100
227049900;252044200
226472800;247963600
227212700;249347700
230502000;269421000
228262700;274640600
226541600;255511900
227740600;254191800
227270100;275849600
230977400;264627400
229134000;251403800
224232200;260173700
229623000;261365600
227991600;253230800
229883000;267972200
226168800;270465800
229214300;274059700
229949400;254009300
223847000;263449700
227861100;257262400
224649400;254984600
230253200;256553000
228024600;257347400
227137300;256477300
226303700;254347600
225896400;252093400
228404800;257436700
228924300;248205400
228308300;261579900
222946800;258262600
231213400;262889500
228933200;263417600
230333700;263341300
231585000;256353800
228527900;257720700
227738100;251318500
227274400;258895800
228634300;253469200
227949900;259010600
229570600;274065100
228999100;258843700
228826300;262165100
230951700;269080400
230605400;277818600
226465000;265918500
228459200;287192600
228451800;295009100
230254400;269748600
227275200;269670200
232215200;285139500
231193600;266768300
229581600;259842400
229605800;258594700
231129600;264315300
230789900;264915200
229041300;262052100
229623500;266257100
233255500;267168500
232546700;266735700
230268700;260747200
231672100;293327600
232979000;276108400
235287400;293705500
232783800;288256400
231839600;287810500
232989400;296152800
235200000;286135300
235071600;294506700
231750100;289401000
229459800;289367800
232993200;278347900
230144600;292877900
231737200;299971000
232281600;300288700
230616700;266837200
