BubbleSort;QuickSort;InsertionSort;ShellSort;Misto;std::sort
31073;14970;6108;7093;4483;4883
32343;15715;6103;7443;4402;4414
32528;15943;6013;7453;4499;4508
33146;16181;6380;8489;4475;4623
33480;16225;6668;8355;4464;4687
32938;25658;7075;8209;4308;4527
33634;25375;7073;8053;4356;4577
35571;17786;7746;7994;4850;4450
35706;17955;7621;8014;4793;4501
34102;16072;7927;7766;4617;4438
34497;16342;7807;7806;4589;4483
37829;16143;6862;7848;6537;5360
38048;16228;6994;7915;6791;5384
36384;15815;7979;8879;4638;4708
37526;15899;8203;8676;4761;4655
36565;18523;7334;8512;4769;4757
37021;18800;7149;8592;4796;4810
39556;17173;7364;8346;4725;5463
39745;17290;7313;8350;4735;5693
38679;20079;11044;11184;6678;6385
38792;16356;8786;12263;6094;7228
57208;21402;9533;12112;6746;8153
57282;22014;9910;12098;6940;8319
60855;19902;7642;9785;5832;5484
62384;19487;7730;9966;5753;6142
40990;18316;7576;8879;5218;5167
41081;18328;7562;9032;5216;5308
40727;18324;7429;9175;5157;5531
40628;18364;7466;9229;5279;5574
39217;15838;7826;9089;5239;5081
39432;16222;7940;9062;5256;5178
42049;17692;8896;9060;5378;5294
42283;17906;8921;9065;5288;5430
43384;18107;8511;9440;6180;5454
44632;18414;8510;10347;5445;5737
43841;18670;8229;11089;5973;5856
44127;18683;8182;11282;5946;5889
43596;18347;8121;9064;5416;5301
43832;18450;8142;9084;5449;5409
42341;18135;8073;9204;6210;6077
42529;18231;8063;9566;6375;6248
46995;18365;8709;9720;5673;5621
47372;18423;8708;9719;5851;5594
44450;20139;9964;10495;5669;5958
44413;19824;10036;10570;5720;6050
43320;18291;8920;9584;6914;5843
43778;18596;9138;9912;6692;6121
44697;18314;8838;9520;5640;5625
44985;18345;8956;9475;5704;5693
46340;19423;9101;9715;6551;5842
46645;19594;9200;9777;6520;5831
45678;22069;10122;10869;6167;6425
45730;21577;10198;10796;6259;6432
50111;21555;10783;9634;5994;5716
50429;21709;10808;9751;5989;5890
49695;19614;9188;9845;5915;6226
49826;20437;9223;9887;6290;6311
54225;20091;9484;10010;6418;5754
54519;20304;9506;10076;6372;5870
53405;20816;10006;11827;7026;6349
53880;20729;10138;11748;7147;6290
51563;19426;9645;10142;6217;6872
51463;19430;9660;10207;6183;6887
56444;21857;10589;10284;6228;5911
56834;21896;10661;10262;6284;5995
50066;20013;9842;11038;6406;5835
50290;20052;9817;11143;6432;5947
57277;22525;9825;11468;6984;6086
57951;22273;9873;11657;6979;6383
53273;21416;9995;11429;6676;6314
53765;21681;10007;11475;6786;6392
55110;23433;11200;11526;6849;6757
55462;23865;11267;11422;6848;6734
52789;25688;10316;11098;6581;6302
53124;21288;10425;11093;6549;6253
57126;23135;11957;11891;6703;6672
57381;23183;12063;11958;6801;6831
54119;23002;11022;11659;7070;6722
54692;23095;11154;11643;7212;6882
56179;21585;11099;11896;7988;6717
56330;21665;11117;12040;7945;6724
61471;23385;13173;12398;7091;7100
61934;23552;13151;12567;7299;6932
57617;21844;11714;13568;6841;6670
57589;21747;11793;13617;6853;6653
58901;22366;12390;12195;7773;7580
59192;22682;12428;12343;8151;7504
