BubbleSort;QuickSort;InsertionSort;ShellSort;Misto;std::sort
419951;79977;94118;48330;29493;25315
426429;76601;97267;50243;30158;25803
426351;76015;96979;50369;30144;25666
453116;77804;97312;48889;31792;26790
452728;77728;97142;48873;32019;26749
472745;78256;97301;49292;29919;26373
475526;78679;97555;49341;29678;26283
461195;82877;100928;53535;31428;26201
462876;83037;100768;53264;31127;26373
449682;78892;104702;51299;32877;27126
453104;78886;104710;51704;32601;27253
454769;78578;101494;48698;30588;26630
454864;77658;101022;48813;30828;26616
451556;81649;99576;49144;30006;25937
452254;80205;99987;49372;30313;26085
440466;75846;97522;47517;30051;26022
440888;76920;97580;47505;29934;26084
444463;74427;97737;48673;29684;25448
446263;74519;97780;48884;29786;25482
442950;78715;100640;50654;30611;27446
444716;78605;101122;50595;30605;27461
448780;76801;99443;48156;29985;27092
452047;77173;100051;48460;30099;27202
453641;78241;106223;49249;31211;26242
455000;79780;107784;48715;30960;26312
459881;77539;99399;48302;29913;25967
461992;77594;99781;48466;30149;26104
460299;90172;105041;51743;31323;26912
461403;90932;105372;51732;31408;26997
454448;78319;101652;48359;31445;27304
457971;79338;102668;48958;31570;27395
470456;78406;105953;49008;30648;27288
466555;78947;105354;49111;30681;27091
462462;78130;103210;49185;31019;26538
464890;79163;103669;49167;31281;26573
465378;78034;102126;48663;30365;26429
466291;78326;102166;48594;30161;26408
468590;79199;104373;49262;30461;26460
469697;79839;104860;49371;30588;26566
466585;79855;104175;50518;30816;26586
465827;80893;104050;50191;30891;26598
469578;79889;102889;50539;37605;27107
472980;80454;103608;50743;37818;27163
468964;85334;105711;49118;30611;26811
467968;80479;106419;49060;30769;26766
484101;80700;106352;50494;31685;27845
485195;81373;106865;50379;31789;27521
476665;79660;105296;49676;31248;26608
476144;80374;105013;49716;31206;26589
476996;81424;107765;52458;33238;27216
478074;81800;107841;52707;33261;27253
480416;80543;110280;52071;33235;28075
484672;81482;109979;52359;33883;28177
495156;81328;109287;50656;32217;27947
495961;81866;109495;50763;32241;28033
479214;80539;107445;49767;31480;27248
481376;81411;107643;49663;31538;27210
487696;82978;109476;49994;32336;27176
489470;82373;109368;50049;32373;27274
492367;82436;107158;50113;31848;27726
496641;81445;106819;51362;31724;28152
489120;83462;108129;50748;31575;27486
488770;83468;108250;50698;31561;27402
490670;82997;111105;52941;32598;28871
494187;83868;111979;52939;32629;29083
495863;82001;111987;52593;31871;27871
496176;82141;112088;51735;31872;27922
487425;80698;111475;50678;32681;27765
488354;80746;112127;50550;32477;27674
506285;97733;112295;52226;32639;28280
507680;84199;112488;52055;33116;28011
506749;82890;114516;52561;32231;27966
506361;83647;114222;52677;32258;28121
506099;82395;112478;51982;32882;28161
507070;82258;112733;51920;32929;28237
499996;84800;113464;52374;32007;27949
503144;84430;113607;52753;32366;28426
500680;83310;112958;51086;32496;27937
500950;82970;113122;50920;32449;27943
500313;82359;117188;55292;33205;29270
501921;83513;120498;55210;33043;29548
544776;84848;113938;53107;33661;28567
545517;85618;114389;53500;33619;28857
522537;84054;115838;52894;32468;28851
522273;83591;116453;52745;32660;28826
534475;83277;116347;52674;32537;28582
534760;84400;116257;52526;32689;28638
510423;81791;113788;50403;31602;27604
513100;82891;114064;50475;31747;28287
521429;84383;114770;53126;33491;28630
520055;83148;114504;53142;33213;28798
522280;85589;119944;53040;33880;28788
524072;85155;119579;53595;33276;28922
525861;86043;120229;54112;33829;28732
527556;86371;120564;54301;33967;28920
533254;87561;118149;51165;33797;28800
535003;88675;118542;51123;33751;28627
518096;83645;119942;54487;34175;29800
522206;84534;120306;54802;34640;29885
529068;86114;117287;54098;34743;28434
534384;86202;117243;53990;35287;28137
525192;83059;117121;52293;32673;28647
526957;83596;117528;52395;32898;28952
533037;86192;119259;52064;33788;28795
537727;87098;119471;52195;33671;28579
531465;83905;117110;51326;31889;28950
535228;84841;117638;51731;32121;28980
537358;86163;119325;53392;33444;28581
538543;86270;118757;53242;33616;28934
518806;83919;116446;51679;32120;27979
521101;84654;116836;51524;32291;28100
527041;85533;121648;53627;32967;29989
529025;87321;121775;53346;33711;29308
512195;84276;113683;53030;30816;27435
516964;84560;113986;53682;30523;27488
521113;83716;116620;52660;32710;26705
523535;83411;116652;52828;32905;26608
516122;82775;116573;53125;38245;28330
517236;81997;116876;53463;37996;28061
516041;92343;115106;51327;34818;31032
516742;106561;114404;52459;36944;28305
538511;86060;116508;49179;33306;26668
541859;86109;116699;49639;34316;26177
538288;89265;110336;48700;35013;26043
538968;89210;109817;48553;35708;26144
514377;88312;113634;57882;44869;36801
515460;88719;113611;58745;45180;36370
542345;86463;120902;50079;32050;27553
543071;87418;120702;50098;32172;27488
527096;87757;117296;54233;33533;28633
529837;88279;118073;54578;34018;28276
503666;90919;119518;50122;33096;27091
504885;91101;120185;49759;33368;27212
538649;106887;145275;62604;44314;36315
537261;107526;144808;63815;43942;35777
611888;119061;168295;65164;39242;31811
618710;119929;168137;65173;39900;31735
726404;130596;193777;81161;64496;46230
726807;145597;201790;80218;67824;38003
694537;135222;158741;58785;35855;29333
698385;118219;156670;58877;36845;29710
790870;123492;303495;101308;53107;39689
787100;126343;302594;113924;50787;39553
706191;92002;164285;70080;44283;35704
706424;92731;163894;70662;43936;35991
954373;135584;234991;76515;47158;36360
952042;136419;232589;76163;46096;38232
806871;163234;181423;71220;46169;32377
802844;139008;195337;70408;45598;35403
753984;164056;251621;63362;43870;36246
752734;170781;252099;63911;43196;36562
794621;92900;135682;57028;49499;40429
797408;91418;135625;57930;50460;41341
900657;122074;237169;86573;59108;49739
905767;124032;250426;85992;64151;48663
981785;145542;198926;84800;51234;40189
990602;142502;197692;90055;53381;41378
934276;146807;253420;76280;57304;45996
934972;146120;255060;73942;56374;46973
902817;172356;209365;84824;57527;42789
905064;180177;206266;84888;58788;45987
1024796;126701;233494;84444;38234;33119
1021911;128278;231280;86058;37946;33187
808665;166078;234854;81240;53959;40767
810978;162689;238727;79939;54502;41935
856929;110164;233339;54028;39344;39895
850023;108012;236242;54148;36385;37747
685610;113977;136352;59769;38817;28310
687143;114557;138295;59985;39023;27966
677744;100277;129231;76887;47156;37639
675874;99198;127503;73967;50823;38303
675504;119905;166515;75589;60868;44811
677717;121242;165758;76235;66054;43309
938972;114440;154075;73274;63920;47061
948479;115382;152967;75000;65186;46315
1013329;168054;181920;63451;49987;36735
1006546;166914;179222;64403;49402;37804
625240;91923;131195;61498;38924;29315
624945;92885;131058;59287;38979;29584
561675;94058;134444;55581;36391;30823
563790;93503;134586;55725;36619;30900
715631;93917;132129;58042;47312;37474
709265;94414;133196;58591;45917;38296
684077;92186;125533;69596;46201;38795
686311;93524;126021;71410;45609;39215
753205;93578;139239;63732;40837;37626
755549;110918;143078;65512;40282;34689
733848;127995;169268;80270;42895;31914
734054;129441;171425;79405;43411;31553
642285;108032;134849;55657;43140;35024
642199;107941;135199;56236;42877;35679
832279;136896;165127;79300;48062;41369
834577;131840;166284;78564;48161;40059
893626;107557;158212;78424;53866;47810
889211;107562;154175;79179;52313;45790
875388;132855;152298;78221;53056;41150
882371;132891;152570;80593;54302;43228
856293;129891;155292;69352;49125;33648
836493;139738;155891;71922;46744;35851
752833;100575;182591;65015;42507;29735
751157;102004;186027;65759;41288;29741
748521;119721;171295;69413;44289;42299
741948;116179;172195;66629;46050;41845
641908;102813;137927;55790;36752;29097
647140;104597;137372;55004;37404;28948
637135;105447;139123;60326;37711;29263
639641;105061;141278;59352;37723;28994
635403;100825;140296;55183;36131;30776
632809;101607;140058;55036;36142;30614
625718;94692;141611;55748;41588;29692
624706;94813;137446;55563;41805;30220
599221;99897;139865;56166;38997;36203
602919;100756;138684;56667;39630;37031
633184;97242;165436;73985;50133;42746
634185;97924;165473;74656;49315;42853
710680;98752;143169;59694;41751;32332
713677;100264;143312;60111;42356;31488
